run_accession	sample_accession	sample_alias	experiment_accession	experiment_title	library_name	library_layout	instrument_model
SRR18595827	SAMN27258506	OSCC81_S064	SRX14725746	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S064_L001	PAIRED	Illumina MiSeq
SRR18595832	SAMN27258502	OSCC81_S060	SRX14725736	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S060_L001	PAIRED	Illumina MiSeq
SRR18595843	SAMN27258492	OSCC81_S050	SRX14725714	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S050_L001	PAIRED	Illumina MiSeq
SRR18595846	SAMN27258489	OSCC81_S047	SRX14725708	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S047_L001	PAIRED	Illumina MiSeq
SRR18595847	SAMN27258488	OSCC81_S046	SRX14725706	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S046_L001	PAIRED	Illumina MiSeq
SRR18595688	SAMN27258461	OSCC81_S019	SRX14726023	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S019_L001	PAIRED	Illumina MiSeq
SRR18595695	SAMN27258454	OSCC81_S012	SRX14726009	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S012_L001	PAIRED	Illumina MiSeq
SRR18595700	SAMN27258450	OSCC81_S008	SRX14725999	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S008_L001	PAIRED	Illumina MiSeq
SRR18595702	SAMN27258448	OSCC81_S006	SRX14725995	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S006_L001	PAIRED	Illumina MiSeq
SRR18595704	SAMN27258446	OSCC81_S004	SRX14725992	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S004_L001	PAIRED	Illumina MiSeq
SRR18595705	SAMN27258445	OSCC81_S003	SRX14725990	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S003_L001	PAIRED	Illumina MiSeq
SRR18595709	SAMN27258451	OSCC81_S009	SRX14725982	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S009_L001	PAIRED	Illumina MiSeq
SRR18595711	SAMN27258521	OSCC81_S079	SRX14725978	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S079_L001	PAIRED	Illumina MiSeq
SRR18595712	SAMN27258520	OSCC81_S078	SRX14725976	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S078_L001	PAIRED	Illumina MiSeq
SRR18595715	SAMN27258517	OSCC81_S075	SRX14725970	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S075_L001	PAIRED	Illumina MiSeq
SRR18595723	SAMN27258481	OSCC81_S039	SRX14725954	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S039_L001	PAIRED	Illumina MiSeq
SRR18595724	SAMN27258480	OSCC81_S038	SRX14725952	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S038_L001	PAIRED	Illumina MiSeq
SRR18595726	SAMN27258478	OSCC81_S036	SRX14725948	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S036_L001	PAIRED	Illumina MiSeq
SRR18595728	SAMN27258476	OSCC81_S034	SRX14725944	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S034_L001	PAIRED	Illumina MiSeq
SRR18595730	SAMN27258474	OSCC81_S032	SRX14725940	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S032_L001	PAIRED	Illumina MiSeq
SRR18595734	SAMN27258471	OSCC81_S029	SRX14725932	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S029_L001	PAIRED	Illumina MiSeq
SRR18595739	SAMN27258466	OSCC81_S024	SRX14725922	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S024_L001	PAIRED	Illumina MiSeq
SRR18595740	SAMN27258465	OSCC81_S023	SRX14725920	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S023_L001	PAIRED	Illumina MiSeq
SRR18595746	SAMN27258460	OSCC81_S018	SRX14725908	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S018_L001	PAIRED	Illumina MiSeq
SRR18595750	SAMN27258456	OSCC81_S014	SRX14725900	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S014_L001	PAIRED	Illumina MiSeq
SRR18595754	SAMN27258488	OSCC81_S046	SRX14725892	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S046_L001	PAIRED	Illumina MiSeq
SRR18595758	SAMN27258484	OSCC81_S042	SRX14725884	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S042_L001	PAIRED	Illumina MiSeq
