genus	n_cohorts	n_DADA2_SILVA	in_sensitivity_GG	n_up	n_down	direction	direction_consistent	frac_agree	n_sig_q0.1	n_nominal_p0.05	evidence_hits	min_q	mean_abs_effect	mean_median_effect	mean_prevalence	cohort_effects	score	tier	rank
g__Phaselicystis	2	2	0	2	0	up	1	1	2	2	2	0.000403338	0.112765	0.112765	0.0131	666746(SILVA*+0.142);822685(SILVA*+0.0836);813034(NA)	0.684843	C_DADA2_consistent_GGnotdetected	92
g__Brucella	2	2	0	2	0	up	1	1	2	1	2	0.00157225	0.104796	0.104796	0.0143	666746(SILVA*+0.135);822685(SILVA*+0.0746);813034(NA)	0.684176	C_DADA2_consistent_GGnotdetected	93
g__Caulobacter	2	2	0	2	0	up	1	1	2	2	2	0.00588081	0.109314	0.109314	0.0131	666746(SILVA*+0.135);822685(SILVA*+0.0836);813034(NA)	0.683209	C_DADA2_consistent_GGnotdetected	94
g__Prosthecobacter	2	2	0	2	0	up	1	1	2	2	2	0.00157225	0.109314	0.109314	0.0131	666746(SILVA*+0.135);822685(SILVA*+0.0836);813034(NA)	0.683209	C_DADA2_consistent_GGnotdetected	95
g__Rhizorhabdus	2	2	0	2	0	up	1	1	2	2	2	0.00664124	0.107067	0.107067	0.0131	666746(SILVA*+0.13);822685(SILVA*+0.0836);813034(NA)	0.682145	C_DADA2_consistent_GGnotdetected	96
g__Howardella	2	2	0	2	0	up	1	1	1	1	1	0.000150882	0.137543	0.137543	0.1359	666746(SILVA*+0.198);822685(SILVA+0.0767);813034(NA)	0.681133	C_DADA2_consistent_GGnotdetected	97
g__Fuscovulum	2	2	0	2	0	up	1	1	2	2	2	8.87297e-05	0.113357	0.113357	0.0112	666746(SILVA*+0.152);822685(SILVA*+0.0746);813034(NA)	0.680176	C_DADA2_consistent_GGnotdetected	98
g__Neobacillus	2	2	0	2	0	up	1	1	2	2	2	0.000166401	0.121669	0.121669	0.0081	666746(SILVA*+0.152);822685(SILVA*+0.0912);813034(NA)	0.675965	C_DADA2_consistent_GGnotdetected	99
g__Paucibacter	2	2	0	2	0	up	1	1	2	2	2	0.000390308	0.121669	0.121669	0.0081	666746(SILVA*+0.152);822685(SILVA*+0.0912);813034(NA)	0.675965	C_DADA2_consistent_GGnotdetected	100
g__Pseudaeromonas	2	2	0	2	0	up	1	1	2	2	2	8.87297e-05	0.117875	0.117875	0.0081	666746(SILVA*+0.152);822685(SILVA*+0.0836);813034(NA)	0.674202	C_DADA2_consistent_GGnotdetected	101
g__Roseimarinus	2	2	0	2	0	up	1	1	2	2	2	8.87297e-05	0.117875	0.117875	0.0081	666746(SILVA*+0.152);822685(SILVA*+0.0836);813034(NA)	0.674202	C_DADA2_consistent_GGnotdetected	102
g__Alkanindiges	2	1	1	2	0	up	1	1	1	2	1.5	0.00039812	0.211843	0.211843	0.04	666746(SILVA*+0.142);822685(NA);813034(GG+0.282)	0.672152	E_SILVA+GG_consistent	103
g__Leifsonia	2	2	0	2	0	up	1	1	2	2	2	8.87297e-05	0.113357	0.113357	0.0081	666746(SILVA*+0.152);822685(SILVA*+0.0746);813034(NA)	0.672103	C_DADA2_consistent_GGnotdetected	104
g__Dolosigranulum	2	2	0	2	0	up	1	1	2	2	2	0.00157225	0.112765	0.112765	0.0081	666746(SILVA*+0.142);822685(SILVA*+0.0836);813034(NA)	0.671828	C_DADA2_consistent_GGnotdetected	105
g__Intestinibacter	2	2	0	2	0	up	1	1	2	2	2	0.00154972	0.112765	0.112765	0.0081	666746(SILVA*+0.142);822685(SILVA*+0.0836);813034(NA)	0.671828	C_DADA2_consistent_GGnotdetected	106
g__Gemmiger	2	2	0	2	0	up	1	1	2	2	2	0.00157688	0.109314	0.109314	0.0081	666746(SILVA*+0.135);822685(SILVA*+0.0836);813034(NA)	0.670225	C_DADA2_consistent_GGnotdetected	107
g__Proteiniphilum	2	2	0	2	0	up	1	1	2	2	2	0.00157225	0.109314	0.109314	0.0081	666746(SILVA*+0.135);822685(SILVA*+0.0836);813034(NA)	0.670225	C_DADA2_consistent_GGnotdetected	108
g__Parascardovia	2	2	0	2	0	up	1	1	2	1	2	0.00157225	0.104796	0.104796	0.0081	666746(SILVA*+0.135);822685(SILVA*+0.0746);813034(NA)	0.668126	C_DADA2_consistent_GGnotdetected	109
g__Fretibacterium	2	2	0	2	0	up	1	1	1	0	1	0.0649479	0.0725733	0.0725733	0.1429	666746(SILVA*+0.119);822685(SILVA+0.0257);813034(NA)	0.662857	C_DADA2_consistent_GGnotdetected	110
g__Pseudonocardia	2	1	1	2	0	up	1	1	1	1	1	0.00692726	0.177769	0.177769	0.11	666746(SILVA*+0.13);822685(NA);813034(GG+0.225)	0.652796	E_SILVA+GG_consistent	111
g__Delftia	2	1	1	2	0	up	1	1	1	1	1	0.00148434	0.183468	0.183468	0.1025	666746(SILVA*+0.142);822685(NA);813034(GG+0.225)	0.641607	E_SILVA+GG_consistent	112
g__Akkermansia	2	1	1	2	0	up	1	1	1	1	1	0.0388238	0.0790888	0.0790888	0.1281	666746(NA);822685(SILVA*+0.0836);813034(GG+0.0745)	0.640844	E_SILVA+GG_consistent	113
g__Limnobacter	2	1	1	2	0	up	1	1	1	1	1	0.000499371	0.166999	0.166999	0.105	666746(SILVA*+0.142);822685(NA);813034(GG+0.192)	0.639142	E_SILVA+GG_consistent	114
g__Alloiococcus	2	1	1	2	0	up	1	1	1	2	1.5	0.00157688	0.243145	0.243145	0.0175	666746(SILVA*+0.135);822685(NA);813034(GG+0.351)	0.632562	E_SILVA+GG_consistent	115
g__Hornefia	2	2	0	2	0	up	1	1	1	1	1	0.000774805	0.121029	0.121029	0.1117	666746(SILVA*+0.216);822685(SILVA+0.0257);813034(NA)	0.631251	C_DADA2_consistent_GGnotdetected	116
g__Anaeroglobus	2	2	0	2	0	up	1	1	1	1	1	0.0101273	0.0951444	0.0951444	0.1172	666746(SILVA*+0.135);822685(SILVA+0.0553);813034(NA)	0.629444	C_DADA2_consistent_GGnotdetected	117
g__Mediterraneibacter	2	2	0	2	0	up	1	1	1	1	1	0.0388238	0.0862599	0.0862599	0.1181	666746(SILVA+0.0889);822685(SILVA*+0.0836);813034(NA)	0.627063	C_DADA2_consistent_GGnotdetected	118
g__Nocardioides	2	1	1	2	0	up	1	1	1	1	1	0.0137866	0.22353	0.22353	0.085	666746(SILVA*+0.165);822685(NA);813034(GG+0.282)	0.625859	E_SILVA+GG_consistent	119
g__Pseudoleptotrichia	2	2	0	2	0	up	1	1	0	0	0	0.396235	0.157521	0.157521	0.4477	666746(SILVA+0.25);822685(SILVA+0.0649);813034(NA)	0.624101	C_DADA2_consistent_GGnotdetected	120
g__Thermus	2	1	1	2	0	up	1	1	1	1	1	0.00157225	0.235034	0.235034	0.08	666746(SILVA*+0.135);822685(NA);813034(GG+0.335)	0.621074	E_SILVA+GG_consistent	121
g__Limosilactobacillus	2	2	0	2	0	up	1	1	1	1	1	0.00367787	0.104796	0.104796	0.0948	666746(SILVA*+0.135);822685(SILVA+0.0746);813034(NA)	0.59504	C_DADA2_consistent_GGnotdetected	122
g__Moraxella	2	2	0	2	0	up	1	1	1	0	1	0.0755559	0.0817419	0.0817419	0.0931	666746(SILVA+0.0889);822685(SILVA*+0.0746);813034(NA)	0.582615	C_DADA2_consistent_GGnotdetected	123
g__W5053	2	2	0	2	0	up	1	1	1	1	1	0.0113786	0.090569	0.090569	0.0882	666746(SILVA*+0.142);822685(SILVA+0.0392);813034(NA)	0.577877	C_DADA2_consistent_GGnotdetected	124
g__TM7a	2	2	0	2	0	up	1	1	1	1	1	0.000747484	0.117875	0.117875	0.079	666746(SILVA*+0.152);822685(SILVA+0.0836);813034(NA)	0.572937	C_DADA2_consistent_GGnotdetected	125
g__Flavisolibacter	2	1	1	2	0	up	1	1	1	1	1	0.00201692	0.243145	0.243145	0.0525	666746(SILVA*+0.135);822685(NA);813034(GG+0.351)	0.572262	E_SILVA+GG_consistent	126
g__Cardiobacterium	3	2	1	3	0	up	1	1	0	0	0	0.240412	0.06328	0.06328	0.2409	666746(SILVA+0.109);822685(SILVA+0.00621);813034(GG+0.0746)	0.555334	A_all3_consistent	127
g__Salinicoccus	2	1	1	2	0	up	1	1	1	1	1	0.000417316	0.183468	0.183468	0.055	666746(SILVA*+0.142);822685(NA);813034(GG+0.225)	0.555149	E_SILVA+GG_consistent	128
