genus	SRR18236708	SRR18236719	SRR18236725	SRR18236726	SRR18236727	SRR18236728	SRR18236729	SRR18236730	SRR18236731	SRR18236734	SRR18236735	SRR18236736	SRR18236737	SRR18236738	SRR18236739	SRR18236740	SRR18236741	SRR18236742	SRR18236743	SRR18236744	SRR18236745	SRR18236746	SRR18236752	SRR18236763	SRR18236774	SRR18236785	SRR18236786	SRR18236787	SRR18236788	SRR18236789	SRR18236790	SRR18236791	SRR18236792	SRR18236793	SRR18236794	SRR18236795	SRR18236796	SRR18236797	SRR18236732	SRR18236733
g__Ammoniphilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.9568701e-05	0	0	0	0	0	0	0	0	0
g__Anabaena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0522235e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Anaerobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5261118e-05	2.6458176e-05	2.6927686e-05	0.0001095959	0	0	0	0	1.8228217e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Anaerococcus	0	0	0	1.2682791e-05	1.2666084e-05	1.3648337e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9766362e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	5.8854688e-05	2.4282159e-05	0	0
g__Anaeroplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00029649542	0.00030987969	0	0.0002247463	0	0	0	0	0.00017805916	0	0	0	0	0	0.00019618229	0	0	0
g__Anaerostipes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00015813089	3.6456435e-05	0	3.4576353e-05	0	0	0	0	7.9137402e-05	0	0	0	0	0	3.9236459e-05	0	0	0
g__Anaerotruncus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00037556087	0.00045570543	0	0.00017288177	0	0	0	0	0.00053417747	0	0	0	0	0	0.00051007396	0	0	0
g__Anaerovorax	0	0.00034569182	0	0	8.8662588e-05	0.00081890022	0.000361719	0.0039826321	0	0	0	0	0	0	0	0.0012056283	0	0	0	0	0	0	3.9532723e-05	0.00016405396	0	3.4576353e-05	0	0.0004320342	0	0	0	0.00067085609	0	0	0	0	5.8854688e-05	0.00061919505	0	0
g__Anoxybacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6167019e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Aquicella	0	0.00025926886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Arcanobacterium	1.3213181e-05	0.00051853772	0	0	0	4.0945011e-05	0	0	0	4.6629829e-05	0	0	0	0	0.00044073055	1.5261118e-05	1.3229088e-05	2.6927686e-05	1.5656558e-05	0.0002212267	0	0	0.003992805	0.0039919796	0	0.0016769531	0	0	0	1.2330608e-05	0.0049263033	1.3690941e-05	3.4514298e-05	0	0	0	0.0045710474	1.2141079e-05	0	0
g__Arsenicicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00088660342	0	0	0	0	0	0	0	0	0	0	0
g__Arthrobacter	0	8.6422954e-05	3.1812687e-05	0	0	0	0	0	0	0	0	0	1.2827091e-05	1.2369043e-05	0	0	1.3229088e-05	0	0.0001095959	9.2177793e-05	7.2334039e-05	0	0	0	2.6063047e-05	1.7288177e-05	0	0	0	1.2330608e-05	1.9784351e-05	0	3.4514298e-05	0	0	0	0	0	0	0
g__Atopobium	0.00096456225	0.0021605738	0	5.0731163e-05	3.7998252e-05	0.0019244155	0.00016694723	0.00047911364	3.6316975e-05	0.00013988949	4.6657568e-05	0	0.00024371473	0.00075451161	0	0.0027470012	0.005701737	0.00061933677	0.00046969673	0.00012904891	0.00061483933	1.1804424e-05	0.00045462632	0.0028618301	0.0010555534	0.00031118718	2.8905911e-05	0.004638683	0.00017732068	0.0002959346	0.00037590266	0.030612943	3.4514298e-05	1.3646847e-05	6.2651735e-05	1.271472e-05	0.00037274636	6.0705397e-05	0	0
g__Azospirillum	1.3213181e-05	0.0014691902	0	0	7.5996504e-05	0.00019107672	2.7824538e-05	5.9889205e-05	0	0.00030309389	0	0	3.8481272e-05	0	0.00068753967	0	0	1.3463843e-05	0	0.00012904891	0.00043400423	0	0	0	0	0	0	0.00034107963	0.0039010551	1.2330608e-05	0	1.3690941e-05	0.00018982864	5.4587388e-05	0	5.0858879e-05	7.8472917e-05	0	0	0
